model,train_r2,test_r2,rmse,mae,mdape,time
Blend_XGB0.1_LGB0.9,,0.8561216722810282,321334.94296053605,141147.54902009584,17.489739067740437,0
LightGBM_Tuned,0.979353043620749,0.8560048941900176,321465.3214222505,141816.62082664168,17.6291695157712,21.451753854751587
XGBoost_Tuned,0.9930761359033419,0.8506431526115785,327395.59583538806,142145.96458504582,17.20761752136752,92.14984512329102
Stacking_XGB_LGB,0.9616344067033685,0.8394741093960019,339416.38839417207,153353.68639229433,19.26369809675176,86.99910807609558
Voting_XGB_LGB,0.9609118563961021,0.8324762410147684,346735.62781878904,154861.832438658,19.58190219058596,42.33412313461304
